common,bioconda,biotools
WEEDER,weeder,weeder
BIOCONDUCTOR-MOTIFRG,bioconductor-motifrg,motifrg
MUSCLE,muscle,muscle
GENONETS,genonets,genonets
DSK,dsk,dsk
BIOCONDUCTOR-BIONET,bioconductor-bionet,bionet
BIOCONDUCTOR-METHYLKIT,bioconductor-methylkit,methylkit
BIOCONDUCTOR-TITANCNA,bioconductor-titancna,titancna
BIOCONDUCTOR-ROC,bioconductor-roc,roc
IGV,igv,igv
CORSET,corset,corset
BIOCONDUCTOR-SUPRAHEX,bioconductor-suprahex,suprahex
FLASH,flash,flash
BLAST,blast,blast
BIOCONDUCTOR-RONTOTOOLS,bioconductor-rontotools,rontotools
BIOCONDUCTOR-INTERACTIVEDISPLAYBASE,bioconductor-interactivedisplaybase,interactivedisplaybase
BIOCONDUCTOR-AROMA.LIGHT,bioconductor-aroma.light,aroma.light
SNIPER,somatic-sniper,sniper
BIOCONDUCTOR-XCMS,bioconductor-xcms,xcms
IPO,r-ipo,ipo
BIOCONDUCTOR-ASPLI,bioconductor-aspli,aspli
BIOCONDUCTOR-PVIZ,bioconductor-pviz,pviz
LSD,r-lsd,lsd
ANTARNA,antarna,antarna
BIOCONDUCTOR-ASAFE,bioconductor-asafe,asafe
BIOCONDUCTOR-FLOWWORKSPACE,bioconductor-flowworkspace,flowworkspace
RAXML,raxml,raxml
BIOCONDUCTOR-DIRICHLETMULTINOMIAL,bioconductor-dirichletmultinomial,dirichletmultinomial
HTSLIB,htslib,HTSlib
BIOCONDUCTOR-MIRSYNERGY,bioconductor-mirsynergy,mirsynergy
BIOCONDUCTOR-A4CORE,bioconductor-a4core,a4core
BIOCONDUCTOR-MAKECDFENV,bioconductor-makecdfenv,makecdfenv
BIOCONDUCTOR-SLQPCR,bioconductor-slqpcr,slqpcr
BIOCONDUCTOR-MANTELCORR,bioconductor-mantelcorr,mantelcorr
BBMAP,bbmap,bbmap
BIOCONDUCTOR-BIOVIZBASE,bioconductor-biovizbase,biovizbase
BIOCONDUCTOR-NCIGRAPH,bioconductor-ncigraph,ncigraph
BESST,besst,besst
PYFASTA,pyfasta,pyfasta
BIOCONDUCTOR-MERGEOMICS,bioconductor-mergeomics,mergeomics
IGBLAST,igblast,igblast
BIOCONDUCTOR-BIOCINSTALLER,bioconductor-biocinstaller,biocinstaller
MASON,mason,mason
FREEC,control-freec,freec
BIOCONDUCTOR-RTREEMIX,bioconductor-rtreemix,rtreemix
NGSUTILS,ngsutils,ngsutils
CUFFLINKS,cufflinks,cufflinks
BIOCONDUCTOR-DESEQ,bioconductor-deseq,deseq
BIOCONDUCTOR-AFFYIO,bioconductor-affyio,affyio
GENOMETOOLS,genometools-genometools,genometools
BIOCONDUCTOR-ARRAYQUALITY,bioconductor-arrayquality,arrayquality
MUMMER,mummer,mummer
FASTA,validate-fasta-database,fasta
MICROPAN,r-micropan,micropan
BIOCONDUCTOR-RAIN,bioconductor-rain,rain
BIOCONDUCTOR-RBSURV,bioconductor-rbsurv,rbsurv
BIOCONDUCTOR-RCAS,bioconductor-rcas,rcas
BIOCONDUCTOR-CGHCALL,bioconductor-cghcall,cghcall
BIOCONDUCTOR-MBAMETHYL,bioconductor-mbamethyl,mbamethyl
FASTTREE,fasttree,fasttree
BIOCONDUCTOR-SANTA,bioconductor-santa,santa
BIOCONDUCTOR-RHTSLIB,bioconductor-rhtslib,rhtslib
CCAT,ccat,CCAT
KAIJU,kaiju,kaiju
BIOCONDUCTOR-CANCERMUTATIONANALYSIS,bioconductor-cancermutationanalysis,cancermutationanalysis
BIOCONDUCTOR-QDNASEQ,bioconductor-qdnaseq,qdnaseq
BIOCONDUCTOR-BALLGOWN,bioconductor-ballgown,ballgown
SEARCHGUI,searchgui,searchgui
TRINITY,trinity,trinity
BIOCONDUCTOR-ANNOTATIONHUB,bioconductor-annotationhub,annotationhub
MUTATIONALPATTERNS,r-mutationalpatterns,mutationalpatterns
BIOCONDUCTOR-R4RNA,bioconductor-r4rna,r4rna
PHYML,phyml,phyml
VELVET,velvet,velvet
LASTZ,lastz,lastz
BIOCONDUCTOR-MARRAY,bioconductor-marray,marray
DISCOSNP,discosnp,discosnp
BIOCONDUCTOR-SRADB,bioconductor-sradb,sradb
MIRA,mira,mira
